timestamp, # Bytes,# Packets,# Unique Source IPs,# Unique Destination IPs
1207872000, ,,,
1207958400, 41945885.045556,576975.39,36016.146666667,315914.84333333
1208044800, 39267971.069444,520985.00138889,31930.882638889,279475.70555556
1208131200, 39960117.458333,435112.42013889,24599.135416667,249693.29166667
1208217600, 29879730.39375,372997.91597222,22162.704166667,206870.82777778
1208304000, 37738245.697917,520762.21111111,22133.997916667,314153.63263889
1208390400, 32489191.820139,420569.96319444,22005.184027778,248608.13819444
1208476800, 30105738.179167,368435.31944444,23277.090972222,198180.65694444
1208563200, 32027568.670833,390074.20694444,26429.696527778,183911.15694444
1208649600, 35219646.818056,446931.87152778,25719.232638889,253905.52152778
1208736000, 39583658.3875,615271.17986111,23507.084722222,388845.21666667
1208822400, 30320576.9625,373412.54791667,23451.635416667,206478.6
1208908800, 28970928.371528,351237.74027778,23188.438194444,184560.11805556
1208995200, 27737499.835417,337039.44791667,22586.876388889,182591.59305556
1209081600, 27921408.631944,315402.62361111,22392.260416667,166342.68194444
1209168000, 27710254.615972,321058.19097222,22535.8,172194.56527778
1209254400, 26669891.506944,290267.74444444,21798.070138889,156699.99583333
1209340800, 26832792.046528,308567.85763889,20262.080555556,175831.00208333
1209427200, 32224626.484722,430330.09722222,21289.419444444,241685.82152778
1209513600, 27930442.170833,314653.27569444,22341.080555556,169682.49583333
1209600000, 27734122.194444,308506.38888889,23029.480555556,160965.36041667
1209686400, 28064341.484028,315252.45972222,21816.127777778,163434.73333333
1209772800, 28859307.75625,334602.46597222,21892.434027778,182937.97083333
1209859200, 27990937.709028,304889.03125,20996.523611111,165311.85972222
1209945600, 30127337.926389,362434.54166667,20170.29375,221598.63055556
1210032000, 29816221.865972,365721.86111111,20509.619444444,212442.50625
1210118400, 29541079.910417,372120.87847222,20086.639583333,229193.96388889
1210204800, 30702498.832639,381957.97777778,21460.88125,233927.92291667
1210291200, 27661890.984722,313008.90555556,22138.432638889,169319.81944444
1210377600, 27800300.392361,310084.61736111,23547.172916667,152242.74861111
1210464000, 26602371.442361,284007.075,22189.640277778,153500.325
1210550400, 25658381.340972,275393.69791667,20521.149305556,141725.77638889
1210636800, 25976034.502083,286953.30625,21285.059027778,149953.06319444
1210723200, 25848183.467361,259177.38194444,22415.55,126256.63125
1210809600, 28033200.696528,316652.61527778,22444.672222222,176586.15833333
1210896000, 27942412.509722,301790.83819444,23272.551388889,140810.17847222
1210982400, 28571474.292361,320528.03194444,24779.629166667,162064.24652778
1211068800, 27059980.115972,282015.61875,23811.814583333,131085.73541667
1211155200, 24130825.704167,250251.16736111,20946.307638889,135146.12291667
1211241600, 25594348.004167,262558.83333333,19513.976388889,159663.41458333
1211328000, 27493350.95625,282742.40277778,19076.177777778,166308.60833333
1211414400, 27633294.114583,288706.80416667,21193.593055556,160283.15486111
1211500800, 26025520.701389,267727.42083333,20875.641666667,141572.99027778
1211587200, 26214584.688194,258906.06041667,22626.647916667,128887.4625
1211673600, 26689374.114583,253892.71736111,22346.145138889,128810.34583333
1211760000, 27490169.263194,270431.90625,20645.540972222,134337.31041667
1211846400, 26786748.886111,296814.17986111,19877.860416667,167940.41388889
1211932800, 29353774.85,336614.77361111,19508.501388889,203576.36180556
